x y
1 2365.37530642744 1860.16479056992
2 2556.17624689182 1943.03792632718
3 2621.70384260686 1941.11064410026
4 2621.70384260686 1891.00130620053
5 2658.32220491821 1860.16479056992
6 2710.35882504485 1840.89196830079
7 2762.3954451715 1827.4009927124
8 2743.12262290237 1792.70991262797
9 2764.32272739842 1767.6552436781
10 2818.28662975198 1754.16426808971
11 2858.75955651715 1736.81872804749
12 2847.19586315567 1707.9094946438
13 2799.01380748285 1671.29113233245
14 2845.26858092876 1613.47266552507
15 2864.54140319789 1561.43604539842
16 2852.97770983641 1534.45409422164
17 2822.1411942058 1490.12660300264
18 2852.97770983641 1432.30813619525
19 2825.99575865963 1355.21684711873
20 2745.04990512929 1297.39838031135
21 2644.83122932982 1272.34371136148
22 2529.19429571504 1260.780018
23 2405.84823319261 1276.1982758153
24 2301.77499293931 1297.39838031135
25 2295.99314625858 1382.19879829551
26 2224.6837038628 1416.88987837995
27 2213.12001050132 1547.94506981003
28 2153.37426146702 1603.8362543905
29 2153.37426146702 1684.78210792084
30 2178.42893041689 1738.74601027441
31 2309.48412184697 1827.4009927124
32 2365.37530642744 1858.23750834301
