x y
1 2710.35673660466 1985.15167093914
2 2812.59458599964 1985.15167093914
3 2865.36250826802 1889.5098118277
4 2895.04446454398 1810.35792842514
5 2895.04446454398 1724.61005473903
6 2838.97854713383 1671.84213247065
7 2749.93267830594 1671.84213247065
8 2650.99282405274 1704.82208388839
9 2621.31086777677 1681.73611789597
10 2647.69482891096 1572.90227821745
11 2660.88680947806 1480.55841424779
12 2647.69482891096 1454.1744531136
13 2538.86098923244 1384.91655513636
14 2446.51712526278 1381.61855999458
15 2284.91536331587 1473.96242396424
16 2199.16748962976 1536.62433165794
17 2176.08152363735 1615.7762150605
18 2185.97550906267 1708.12007903016
19 2340.98128072602 1800.46394299982
20 2449.81512040455 1840.0398847011
21 2495.98705238938 1757.59000615676
22 2538.86098923244 1724.61005473903
23 2614.71487749323 1724.61005473903
24 2621.31086777677 1757.59000615676
25 2555.3509649413 1912.59577782012
26 2664.18480461983 1985.15167093914
27 2693.86676089579 1988.44966608091
