x y
1 2458.08656276547 1919.79422539801
2 2592.00985639419 1981.17573497785
3 2695.242395233 1919.79422539801
4 2778.94445375096 1819.35175517647
5 2831.95575747899 1730.06955942399
6 2862.64651226891 1607.30654026432
7 2854.27630641711 1506.86407004278
8 2840.32596333079 1434.32228599389
9 2848.69616918258 1386.89111950038
10 2818.00541439267 1314.34933545149
11 2731.51328725745 1303.18906098243
12 2619.91054256684 1339.45995300688
13 2435.76601382735 1395.26132535218
14 2349.27388669213 1465.0130407838
15 2254.41155370512 1509.65413866005
16 2181.86976965623 1640.7873636715
17 2218.14066168067 1777.50072591749
18 2324.16326913675 1877.94319613904
19 2458.08656276547 1925.37436263254
