x y
1 2385.54477871658 1855.62264720092
2 2544.57868990069 1936.5346371016
3 2714.77287555386 1958.85518603972
4 2804.05507130634 1830.51202964553
5 2876.59685535523 1724.48942218946
6 2851.48623779985 1582.19592270894
7 2734.30335587471 1409.2116684385
8 2541.78862128342 1406.42159982124
9 2463.6667 1453.85276631474
10 2458.08656276547 1520.81441312911
11 2379.96464148205 1520.81441312911
12 2287.8923771123 1492.91372695646
13 2212.56052444614 1554.29523653629
14 2134.43860316272 1557.08530515355
15 2050.73654464477 1576.61578547441
16 2095.37764252101 1637.99729505424
17 2276.73210264324 1763.55038283117
18 2285.10230849503 1785.87093176929
19 2391.12491595111 1855.62264720092
