x y
1 2547.36875851795 1947.69491157066
2 2675.71191491215 1964.43532327426
3 2776.15438513369 1956.06511742246
4 2831.95575747899 1886.31340199083
5 2882.17699258976 1802.61134347288
6 2848.69616918258 1766.34045144843
7 2837.53589471352 1657.5277753751
8 2759.4139734301 1632.41715781971
9 2639.4410228877 1677.05825569595
10 2527.8382781971 1691.00859878228
11 2444.13621967914 1730.06955942399
12 2393.91498456837 1738.43976527578
13 2399.4951218029 1822.14182379374
14 2416.23553350649 1894.68360784263
15 2547.36875851795 1947.69491157066
