x y
1 2519.4680723453 1919.79422539801
2 2670.13177767762 1978.38566636058
3 2759.4139734301 1981.17573497785
4 2837.53589471352 1939.32470571887
5 2876.59685535523 1880.7332647563
6 2901.70747291062 1833.3020982628
7 2893.33726705882 1757.97024559664
8 2857.06637503438 1685.42846154775
9 2795.68486545455 1660.31784399236
10 2703.6126010848 1660.31784399236
11 2639.4410228877 1618.46681473338
12 2650.60129735676 1531.97468759817
13 2636.65095427044 1476.17331525286
14 2552.94889575248 1400.84146258671
15 2262.78175955691 1417.5818742903
16 2193.03004412529 1484.54352110466
17 2198.61018135982 1551.50516791902
18 2109.32798560733 1565.45551100535
19 2092.58757390374 1612.88667749885
20 2262.78175955691 1755.18017697937
21 2349.27388669213 1805.40141209014
22 2519.4680723453 1919.79422539801
