x y
1 2664.55164044309 1942.11477433613
2 2734.30335587471 1933.74456848434
3 2778.94445375096 1877.94319613904
4 2826.37562024446 1777.50072591749
5 2929.60815908327 1663.10791260963
6 2937.97836493507 1624.04695196791
7 2915.65781599694 1590.56612856073
8 2935.1882963178 1559.87537377082
9 2937.97836493507 1501.28393280825
10 2896.12733567609 1465.0130407838
11 2843.11603194805 1451.06269769748
12 2845.90610056532 1400.84146258671
13 2829.16568886173 1364.57057056226
14 2790.10472822002 1333.87981577235
15 2728.72321864018 1308.76919821696
16 2558.52903298701 1353.4102960932
17 2413.44546488923 1395.26132535218
18 2363.22422977846 1403.63153120397
19 2301.84272019863 1481.75345248739
20 2338.11361222307 1607.30654026432
21 2352.0639553094 1749.60003974484
22 2301.84272019863 1774.71065730023
23 2318.58313190222 1827.72196102827
24 2407.8653276547 1889.1034706081
25 2597.58999362872 1970.01546050879
26 2661.76157182582 1939.32470571887
