x y
1 2386.98277320829 1880.28390124132
2 2310.29884641657 1844.49806873852
3 2202.94134890817 1788.26318909127
4 2136.48194568869 1680.90569158287
5 2136.48194568869 1553.09914693001
6 2208.05361069429 1491.75200549664
7 2432.99312928331 1389.50676977436
8 2739.72883645017 1374.16998441601
9 2903.32121360582 1409.95581691881
10 2949.33156968085 1537.76236157167
11 2949.33156968085 1706.46700051344
12 2806.18823966965 1844.49806873852
13 2703.94300394737 1905.84521017189
14 2606.8100300112 1946.74330446081
15 2392.0950349944 1890.50842481355
16 2376.75824963606 1870.05937766909
