x y
1 2248.22513641761 1773.60356259278
2 2163.73824873825 1686.63176645225
3 2143.85898104899 1582.26561108362
4 2268.10440410688 1544.99198416625
5 2379.92528485898 1502.74854032657
6 2476.83671484414 1455.53527956457
7 2690.53884250371 1373.53330034636
8 2807.32954017813 1435.65601187531
9 2884.36170247402 1567.35616031667
10 2919.15042093023 1654.3279564572
11 2857.02770940129 1753.72429490351
12 2707.93320173182 1843.1809995052
13 2558.83869406234 1890.39426026719
14 2451.98763023256 1915.24334487877
15 2379.92528485898 1870.51499257793
16 2248.22513641761 1766.1488372093
