x y
1 2352.59129178624 1781.05828797625
2 2250.71004487877 1733.84502721425
3 2173.67788258288 1676.69213260762
4 2151.31370643246 1624.50905492331
5 2183.61751642751 1515.17308263236
6 2213.4364179614 1415.77674418605
7 2310.34784794656 1368.56348342405
8 2469.38198946066 1343.71439881247
9 2638.3557648194 1326.32003958436
10 2740.23701172687 1435.65601187531
11 2926.60514631371 1617.05432953983
12 2993.69767476497 1733.84502721425
13 3003.6373086096 1860.5753587333
14 2934.05987169718 1940.09242949035
15 2869.45225170708 1979.85096486888
16 2697.99356788718 1989.79059871351
17 2598.59722944087 1945.06224641267
18 2526.53488406729 1890.39426026719
19 2479.32162330529 1840.69609104404
20 2342.65165794161 1783.54319643741
