x y
1 2430.18587659282 1905.84388231169
2 2541.78862128342 1950.48498018793
3 2675.71191491215 1847.25244134912
4 2770.57424789916 1741.22983389305
5 2787.31465960275 1598.93633441253
6 2804.05507130634 1473.3832466356
7 2801.26500268908 1378.52091364859
8 2764.99411066463 1350.62022747594
9 2653.39136597403 1392.47125673491
10 2519.4680723453 1423.16201152483
11 2430.18587659282 1573.82571685714
12 2396.70505318564 1663.10791260963
13 2338.11361222307 1724.48942218946
14 2318.58313190222 1816.56168655921
15 2435.76601382735 1908.63395092895
